City_ID,City,Country,Max Temp,Current Description ,Lat,Lng,Hotel Name
5,Kapaa,US,77.0,overcast clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
9,Srandakan,ID,86.23,broken clouds,-7.9386,110.2506,Puri Brata
10,Puerto Ayora,EC,75.99,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
15,Poum,NC,79.25,clear sky,-20.2333,164.0167,Gîte kajeon
18,Butaritari,KI,81.9,moderate rain,3.0707,172.7902,Isles Sunset Lodge
19,Souillac,MU,78.8,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
20,Faanui,PF,82.8,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
23,Corn Island,NI,80.83,overcast clouds,12.1694,-83.0418,Big Fish Guest House
24,Saint-Philippe,RE,77.0,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
27,Hambantota,LK,87.8,scattered clouds,6.1241,81.1185,Bungalow 63
29,Labuhan,ID,85.55,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
36,Avarua,CK,77.0,broken clouds,-21.2078,-159.775,Paradise Inn
37,Alice Springs,AU,77.0,clear sky,-23.7,133.8833,Desert Palms Alice Springs
39,Vaini,TO,82.4,few clouds,-21.2,-175.2,Keleti Beach Resort
45,Sola,VU,87.8,scattered clouds,-13.8833,167.55,Leumerus Bungalows
48,Isangel,VU,87.8,few clouds,-19.55,169.2667,Tanna Lodge
49,Namatanai,PG,84.85,overcast clouds,-3.6667,152.4333,Namatanai Hotel
52,Aswan,EG,85.41,overcast clouds,24.0934,32.907,Nuba Nile
53,Ejura,GH,75.7,broken clouds,7.3856,-1.3562,Fire Servece
60,Puerto Ayacucho,VE,76.14,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
66,Rikitea,PF,78.24,clear sky,-23.1203,-134.9692,Pension Maro'i
68,Bathsheba,BB,78.8,few clouds,13.2167,-59.5167,Atlantis Hotel
70,Oum Hadjer,TD,82.96,clear sky,13.2954,19.6966,
73,Nang Rong,TH,87.8,scattered clouds,14.6377,102.7914,Phanomrungpuri Boutique Hotels & Resorts
