City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Paamiut,GL,2021-04-20 04:26:15,61.994,-49.6678,29.7,85,100,6.26,[{'description': 'overcast clouds'}]
1,Castro,BR,2021-04-20 04:22:19,-24.7911,-50.0119,52.43,98,4,3.87,[{'description': 'clear sky'}]
2,Hofn,IS,2021-04-20 04:24:34,64.2539,-15.2082,34.61,54,22,16.31,[{'description': 'few clouds'}]
3,Rolla,US,2021-04-20 04:26:17,37.9514,-91.7713,42.8,70,1,13.8,[{'description': 'clear sky'}]
4,Chernyshevskiy,RU,2021-04-20 04:24:50,63.0128,112.4714,23.99,75,100,14.79,[{'description': 'overcast clouds'}]
5,Kapaa,US,2021-04-20 04:26:19,22.0752,-159.319,77.0,73,90,6.91,[{'description': 'overcast clouds'}]
6,Albany,US,2021-04-20 04:18:54,42.6001,-73.9662,46.0,67,27,3.96,[{'description': 'scattered clouds'}]
7,Los Llanos De Aridane,ES,2021-04-20 04:26:20,28.6585,-17.9182,66.2,72,0,11.5,[{'description': 'clear sky'}]
8,San Quintin,MX,2021-04-20 04:22:09,30.4833,-115.95,61.48,77,0,8.88,[{'description': 'clear sky'}]
9,Srandakan,ID,2021-04-20 04:26:22,-7.9386,110.2506,86.23,57,80,11.43,[{'description': 'broken clouds'}]
10,Puerto Ayora,EC,2021-04-20 04:22:17,-0.7393,-90.3518,75.99,97,38,5.97,[{'description': 'scattered clouds'}]
11,Portland,US,2021-04-20 04:18:39,45.5234,-122.6762,63.0,34,75,8.05,[{'description': 'broken clouds'}]
12,Cidreira,BR,2021-04-20 04:19:52,-30.1811,-50.2056,67.96,79,15,12.48,[{'description': 'few clouds'}]
13,Dikson,RU,2021-04-20 04:23:01,73.5069,80.5464,4.24,86,7,7.09,[{'description': 'clear sky'}]
14,Saint-Augustin,CA,2021-04-20 04:24:09,51.226,-58.6502,39.11,72,99,15.28,[{'description': 'overcast clouds'}]
15,Poum,NC,2021-04-20 04:24:13,-20.2333,164.0167,79.25,79,7,19.24,[{'description': 'clear sky'}]
16,Torbay,CA,2021-04-20 04:22:23,47.6666,-52.7314,37.99,100,90,14.97,"[{'description': 'light rain'}, {'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]"
17,Bluff,NZ,2021-04-20 04:19:35,-46.6,168.3333,64.99,59,4,5.99,[{'description': 'clear sky'}]
18,Butaritari,KI,2021-04-20 04:22:29,3.0707,172.7902,81.9,79,97,10.13,[{'description': 'moderate rain'}]
19,Souillac,MU,2021-04-20 04:20:07,-20.5167,57.5167,78.8,89,40,3.44,[{'description': 'scattered clouds'}]
20,Faanui,PF,2021-04-20 04:21:45,-16.4833,-151.75,82.8,72,10,13.78,[{'description': 'light rain'}]
21,Punta Arenas,CL,2021-04-20 04:17:19,-53.15,-70.9167,42.8,81,40,12.66,[{'description': 'scattered clouds'}]
22,Yar-Sale,RU,2021-04-20 04:23:05,66.8333,70.8333,25.68,83,66,18.79,[{'description': 'broken clouds'}]
23,Corn Island,NI,2021-04-20 04:26:34,12.1694,-83.0418,80.83,81,98,13.56,[{'description': 'overcast clouds'}]
24,Saint-Philippe,RE,2021-04-20 04:19:30,-21.3585,55.7679,77.0,83,80,4.61,[{'description': 'light rain'}]
25,Safford,US,2021-04-20 04:26:35,32.834,-109.7076,66.2,15,1,10.36,[{'description': 'clear sky'}]
26,Rio Gallegos,AR,2021-04-20 04:24:32,-51.6226,-69.2181,42.8,52,0,11.5,[{'description': 'clear sky'}]
27,Hambantota,LK,2021-04-20 04:24:01,6.1241,81.1185,87.8,79,40,9.22,[{'description': 'scattered clouds'}]
28,Chokurdakh,RU,2021-04-20 04:22:08,70.6333,147.9167,20.59,88,100,15.03,[{'description': 'overcast clouds'}]
29,Labuhan,ID,2021-04-20 04:24:05,-6.8844,112.2051,85.55,63,59,1.25,[{'description': 'broken clouds'}]
30,Ilulissat,GL,2021-04-20 04:22:45,69.2167,-51.1,10.4,61,60,6.91,[{'description': 'broken clouds'}]
31,Ushuaia,AR,2021-04-20 04:25:37,-54.8,-68.3,41.0,93,40,3.44,[{'description': 'scattered clouds'}]
32,Huangpi,CN,2021-04-20 04:26:36,30.8845,114.3779,68.0,77,20,8.95,[{'description': 'few clouds'}]
33,Codrington,AU,2021-04-20 04:22:52,-38.2667,141.9667,53.15,62,91,18.63,[{'description': 'overcast clouds'}]
34,Amapa,BR,2021-04-20 04:26:37,1.0,-52.0,70.92,99,100,1.34,[{'description': 'overcast clouds'}]
35,Grand-Santi,GF,2021-04-20 04:22:08,4.25,-54.3833,70.54,99,100,1.77,[{'description': 'overcast clouds'}]
36,Avarua,CK,2021-04-20 04:18:21,-21.2078,-159.775,77.0,83,75,20.04,[{'description': 'broken clouds'}]
37,Alice Springs,AU,2021-04-20 04:24:40,-23.7,133.8833,77.0,13,0,6.91,[{'description': 'clear sky'}]
38,Fairbanks,US,2021-04-20 04:22:18,64.8378,-147.7164,57.2,40,1,4.61,[{'description': 'clear sky'}]
39,Vaini,TO,2021-04-20 04:22:05,-21.2,-175.2,82.4,74,20,10.36,[{'description': 'few clouds'}]
40,Jamestown,US,2021-04-20 04:19:50,42.097,-79.2353,46.99,87,90,9.22,[{'description': 'overcast clouds'}]
41,Provideniya,RU,2021-04-20 04:22:38,64.3833,-173.3,32.0,59,0,6.71,[{'description': 'clear sky'}]
42,Ribeira Grande,PT,2021-04-20 04:22:38,38.5167,-28.7,63.09,94,100,22.86,[{'description': 'overcast clouds'}]
43,Nantucket,US,2021-04-20 04:23:38,41.2835,-70.0995,46.4,87,1,5.75,[{'description': 'clear sky'}]
44,Port Lincoln,AU,2021-04-20 04:23:40,-34.7333,135.8667,58.98,56,100,17.11,[{'description': 'overcast clouds'}]
45,Sola,VU,2021-04-20 04:22:12,-13.8833,167.55,87.8,74,40,9.6,[{'description': 'scattered clouds'}]
46,Cape Town,ZA,2021-04-20 04:19:32,-33.9258,18.4232,59.0,88,0,10.36,[{'description': 'clear sky'}]
47,Luderitz,NA,2021-04-20 04:20:56,-26.6481,15.1594,68.88,59,11,6.02,[{'description': 'few clouds'}]
48,Isangel,VU,2021-04-20 04:23:09,-19.55,169.2667,87.8,74,20,2.3,[{'description': 'few clouds'}]
49,Namatanai,PG,2021-04-20 04:22:03,-3.6667,152.4333,84.85,67,98,3.24,[{'description': 'overcast clouds'}]
50,Demirci,TR,2021-04-20 04:26:39,39.0461,28.6589,43.05,88,0,2.91,[{'description': 'clear sky'}]
51,Kuytun,RU,2021-04-20 04:23:19,54.3419,101.5036,26.73,40,100,10.42,[{'description': 'overcast clouds'}]
