City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Sao Jose Da Coroa Grande,BR,2021-04-14 18:48:59,-8.8978,-35.1478,81.23,76,50,8.03
1,Punta Arenas,CL,2021-04-14 18:48:59,-53.15,-70.9167,44.01,70,11,21.0
2,Mar Del Plata,AR,2021-04-14 18:49:00,-38.0023,-57.5575,75.2,53,20,16.11
3,Soddy-Daisy,US,2021-04-14 18:49:00,35.2359,-85.1908,75.99,50,100,6.64
4,Mangrol,IN,2021-04-14 18:47:16,21.1167,70.1167,80.19,61,0,8.16
5,Saint-Pierre,RE,2021-04-14 18:49:00,-21.3393,55.4781,77.0,78,0,17.27
6,Muzaffarpur,IN,2021-04-14 18:49:01,26.1167,85.4,77.0,44,20,1.81
7,Axim,GH,2021-04-14 18:49:01,4.8699,-2.2405,81.52,80,100,9.84
8,Jamestown,US,2021-04-14 18:49:01,42.097,-79.2353,61.0,38,20,11.5
9,Albany,US,2021-04-14 18:48:39,42.6001,-73.9662,71.6,42,40,1.41
10,Darhan,MN,2021-04-14 18:49:02,49.4867,105.9228,27.52,60,6,4.07
11,Khatanga,RU,2021-04-14 18:49:02,71.9667,102.5,-12.62,97,47,9.04
12,Dongsheng,CN,2021-04-14 18:49:02,39.8161,109.9776,42.39,54,0,13.58
13,Rikitea,PF,2021-04-14 18:46:25,-23.1203,-134.9692,77.77,71,9,7.36
14,Ushuaia,AR,2021-04-14 18:49:03,-54.8,-68.3,50.0,37,20,23.02
15,Narsaq,GL,2021-04-14 18:49:03,60.9167,-46.05,39.2,65,20,6.91
16,Batemans Bay,AU,2021-04-14 18:49:03,-35.7167,150.1833,51.01,85,0,1.01
17,Roald,NO,2021-04-14 18:49:04,62.5833,6.1333,41.0,75,40,5.75
18,Chuy,UY,2021-04-14 18:49:04,-33.6971,-53.4616,71.01,64,0,10.02
19,Provideniya,RU,2021-04-14 18:49:04,64.3833,-173.3,20.43,83,53,4.65
20,Hobart,AU,2021-04-14 18:47:21,-42.8794,147.3294,55.4,58,90,13.8
21,Mahebourg,MU,2021-04-14 18:46:07,-20.4081,57.7,78.8,78,40,8.05
22,Arraial Do Cabo,BR,2021-04-14 18:49:05,-22.9661,-42.0278,78.8,65,40,12.66
23,Huarmey,PE,2021-04-14 18:49:05,-10.0681,-78.1522,72.88,74,29,10.22
24,Puerto Ayora,EC,2021-04-14 18:49:05,-0.7393,-90.3518,80.01,83,40,6.91
25,Busselton,AU,2021-04-14 18:46:28,-33.65,115.3333,54.0,97,95,3.53
26,Quatre Cocos,MU,2021-04-14 18:49:06,-20.2078,57.7625,79.0,78,40,8.05
27,Carnarvon,AU,2021-04-14 18:49:06,-24.8667,113.6333,73.87,36,0,21.45
28,Tombouctou,ML,2021-04-14 18:49:06,20.0,-3.0,94.89,7,7,6.24
29,Bethel,US,2021-04-14 18:49:07,41.3712,-73.414,71.6,30,40,4.61
30,Butaritari,KI,2021-04-14 18:49:07,3.0707,172.7902,81.63,77,100,9.57
31,Mataura,NZ,2021-04-14 18:46:21,-46.1927,168.8643,48.99,97,97,1.01
